GSM813064	GSM813065	GSM813066	GSM813067	GSM814496	GSM814497
0.2844	0.2376	0.5397	0.3187	0.3996	0.2497
187.5681	172.163	169.8293	170.7726	226.5048	205.6127
0.4915	0.2147	0.2957	0.5484	0.4411	0.5916
0.9251	0.6663	0.547	0.4289	0.557	0.4989
11.4744	12.4221	11.4377	11.8172	10.4164	11.615
2.3776	2.1378	1.8286	2.3982	2.0517	1.8525
8.7609	9.4669	6.3496	4.845	6.2035	4.7202
11.2574	10.8594	8.6188	10.3157	8.004	10.7327
2.4565	2.0971	1.9132	2.3325	2.1418	2.1956
2.4052	1.9089	2.7682	2.8404	2.1363	1.6054
34.272	29.9536	34.1292	28.3384	33.3586	27.0937
0.5214	0.4058	0.2153	0.1303	0.5669	0.101
24.2375	26.4373	21.8379	17.4628	27.0471	17.0142
56.8466	54.0496	57.6359	51.0838	59.4145	55.1917
0.4428	0.359	0.3836	0.4229	0.4828	0.2586
4.9789	5.0493	5.0473	5.215	5.157	5.7236
14.249	13.502	12.992	12.8209	12.3409	11.8434
0.5954	0.7595	0.438	0.3496	0.5869	0.3702
16.9614	17.5728	18.9294	17.9287	16.6148	18.3996
2.9267	3.3225	3.0047	2.6011	3.0122	3.3174
0.4455	0.9457	0.3661	0.4764	0.7443	0.3075
1.4526	1.5862	1.9199	1.303	1.8085	1.1395
42.2736	44.1145	45.5245	45.0017	45.9949	45.5143
3.1151	2.6024	4.2965	3.7429	3.342	3.4326
0.3032	0.2659	0.2591	0.5707	0.5195	0.3316
0.3907	0.3484	0.8077	0.7373	0.8135	0.1424
2.1182	2.142	2.2315	2.7459	2.0822	2.8059
0.7674	0.2678	0.2443	0.2494	0.2836	0.3185
0.1836	0.1505	0.3886	0.1987	0.0197	0.2537
2.3076	2.5178	1.8563	1.9148	2.6014	2.2104
10.6343	9.3518	9.0883	6.8306	7.6191	7.7712
1.2785	1.6541	1.1108	1.1473	0.9076	1.2983
1.416	1.616	1.4839	1.3858	0.7515	1.18
5.3938	4.4883	4.1888	4.3715	5.8737	5.7543
3.015	2.4552	3.669	2.878	2.9579	2.6677
0.7201	0.9947	1.4866	0.6252	1.2185	1.2062
1.9762	1.6755	1.8276	1.443	1.4644	1.8021
0.4155	0.4663	0.4809	0.2236	0.2888	0.392
3.4712	3.0325	4.1598	3.4433	3.9446	3.4489
0.909	0.3796	0.6549	0.843	0.8047	0.8145
2.8697	2.7627	2.3075	2.3325	2.5921	2.2881
617.6657	588.482	538.2313	544.7281	664.4374	494.5603
5.2028	4.3627	5.7314	5.1077	7.3607	4.9671
0.577	0.9091	0.68	0.6752	0.9766	0.2617
0.2518	0.0501	0.0406	0.4718	0.5178	-0.1771
0.712	0.9622	0.3309	0.884	1.2177	0.7384
0.5018	0.5858	0.557	0.3889	0.3739	0.4723
3.4972	3.8479	3.4663	3.3606	4.3427	3.3924
13.9696	14.865	15.907	15.7945	13.819	15.9238
17.6515	18.8304	19.7513	18.1947	17.3642	16.6277
2.1741	0.2029	0.3297	0.4473	0.6094	0.1656
19.5665	20.7654	18.9774	18.6095	18.768	16.4629
0.3931	0.1388	0.3762	0.4501	0.1694	0.452
0.669	0.7	0.7302	1.0004	0.7368	0.6977
9.7665	7.5298	8.7871	8.3533	7.9402	7.5394
0.5707	0.6366	0.5375	0.3693	0.7154	0.3149
23.003	21.0046	26.803	22.9933	25.2481	21.6531
0.0497	0.1397	0.3151	0.8365	0.2986	0.395
